[  0.4 min] growth: ticks 2000, loci 104, relations 463, mean degree 8.90, births 101 (failed 99), pulls accepted 359, rewires accepted 204, exact LPs 1219, curvature 31 s (140% of wall)
[  0.7 min] growth: ticks 4000, loci 117, relations 497, mean degree 8.50, births 114 (failed 286), pulls accepted 380, rewires accepted 239, exact LPs 2920, curvature 61 s (149% of wall)
[  0.9 min] growth: ticks 6000, loci 125, relations 509, mean degree 8.14, births 122 (failed 478), pulls accepted 384, rewires accepted 249, exact LPs 4139, curvature 82 s (152% of wall)
[  1.1 min] growth: ticks 8000, loci 126, relations 511, mean degree 8.11, births 123 (failed 677), pulls accepted 385, rewires accepted 254, exact LPs 5308, curvature 101 s (153% of wall)
[  1.3 min] growth: ticks 10000, loci 130, relations 520, mean degree 8.00, births 127 (failed 873), pulls accepted 390, rewires accepted 260, exact LPs 6538, curvature 121 s (155% of wall)
[  1.5 min] growth: ticks 12000, loci 133, relations 523, mean degree 7.86, births 130 (failed 1070), pulls accepted 390, rewires accepted 267, exact LPs 7694, curvature 141 s (155% of wall)
[  1.7 min] growth: ticks 14000, loci 136, relations 528, mean degree 7.76, births 133 (failed 1267), pulls accepted 392, rewires accepted 269, exact LPs 8742, curvature 158 s (156% of wall)
[  1.9 min] growth: ticks 16000, loci 140, relations 543, mean degree 7.76, births 137 (failed 1463), pulls accepted 403, rewires accepted 271, exact LPs 9924, curvature 177 s (156% of wall)
[  2.1 min] growth: ticks 18000, loci 147, relations 569, mean degree 7.74, births 144 (failed 1656), pulls accepted 422, rewires accepted 273, exact LPs 11045, curvature 196 s (157% of wall)
[  2.3 min] growth: ticks 20000, loci 179, relations 714, mean degree 7.98, births 176 (failed 1824), pulls accepted 535, rewires accepted 298, exact LPs 12188, curvature 215 s (156% of wall)
[  2.5 min] growth: ticks 22000, loci 202, relations 795, mean degree 7.87, births 199 (failed 2001), pulls accepted 593, rewires accepted 318, exact LPs 13575, curvature 237 s (157% of wall)
[  2.7 min] growth: ticks 24000, loci 223, relations 919, mean degree 8.24, births 220 (failed 2180), pulls accepted 696, rewires accepted 340, exact LPs 14696, curvature 256 s (157% of wall)
[  2.9 min] growth: ticks 26000, loci 246, relations 986, mean degree 8.02, births 243 (failed 2357), pulls accepted 740, rewires accepted 350, exact LPs 15706, curvature 272 s (156% of wall)
[  3.1 min] growth: ticks 28000, loci 266, relations 1046, mean degree 7.86, births 263 (failed 2537), pulls accepted 780, rewires accepted 357, exact LPs 16963, curvature 292 s (157% of wall)
[  3.4 min] growth: ticks 30000, loci 282, relations 1079, mean degree 7.65, births 279 (failed 2721), pulls accepted 797, rewires accepted 368, exact LPs 18723, curvature 319 s (157% of wall)
[  3.5 min] growth: ticks 32000, loci 290, relations 1120, mean degree 7.72, births 287 (failed 2913), pulls accepted 830, rewires accepted 376, exact LPs 19619, curvature 333 s (157% of wall)
[  3.7 min] growth: ticks 34000, loci 309, relations 1218, mean degree 7.88, births 306 (failed 3094), pulls accepted 909, rewires accepted 396, exact LPs 20479, curvature 348 s (157% of wall)
[  3.9 min] growth: ticks 36000, loci 337, relations 1355, mean degree 8.04, births 334 (failed 3266), pulls accepted 1018, rewires accepted 414, exact LPs 21417, curvature 365 s (157% of wall)
[  4.1 min] growth: ticks 38000, loci 362, relations 1431, mean degree 7.91, births 359 (failed 3441), pulls accepted 1069, rewires accepted 433, exact LPs 22374, curvature 381 s (156% of wall)
[  4.2 min] growth: ticks 40000, loci 371, relations 1454, mean degree 7.84, births 368 (failed 3632), pulls accepted 1083, rewires accepted 440, exact LPs 23203, curvature 395 s (156% of wall)
[  4.5 min] growth: ticks 42000, loci 383, relations 1483, mean degree 7.74, births 380 (failed 3820), pulls accepted 1100, rewires accepted 449, exact LPs 24829, curvature 422 s (156% of wall)
[  4.8 min] growth: ticks 44000, loci 398, relations 1544, mean degree 7.76, births 395 (failed 4005), pulls accepted 1146, rewires accepted 456, exact LPs 26465, curvature 449 s (156% of wall)
[  5.1 min] growth: ticks 46000, loci 408, relations 1564, mean degree 7.67, births 405 (failed 4195), pulls accepted 1156, rewires accepted 462, exact LPs 28117, curvature 476 s (157% of wall)
[  5.3 min] growth: ticks 48000, loci 419, relations 1603, mean degree 7.65, births 416 (failed 4384), pulls accepted 1184, rewires accepted 472, exact LPs 29799, curvature 503 s (157% of wall)
[  5.6 min] growth: ticks 50000, loci 430, relations 1640, mean degree 7.63, births 427 (failed 4573), pulls accepted 1210, rewires accepted 489, exact LPs 31569, curvature 531 s (158% of wall)
[  5.9 min] growth: ticks 52000, loci 445, relations 1687, mean degree 7.58, births 442 (failed 4758), pulls accepted 1242, rewires accepted 499, exact LPs 33278, curvature 558 s (158% of wall)
[  6.1 min] growth: ticks 54000, loci 463, relations 1786, mean degree 7.71, births 460 (failed 4940), pulls accepted 1323, rewires accepted 512, exact LPs 34465, curvature 577 s (158% of wall)
