2026-09-15 18:34:21 start: 456 jobs, largest 16000
19:52:32 done 1/456 (1.30 h): constrained_K10_c1_k12_kap-0.1_N4000_s1.json
19:52:38 done 2/456 (1.30 h): constrained_K10_c1_k12_kap-0.1_N4000_s0.json
19:53:12 done 3/456 (1.31 h): constrained_K10_c1_k12_kap-0.1_N4000_s2.json
20:06:50 done 4/456 (1.54 h): constrained_K10_c1_k12_kap-0.1_N1000_s0.json
20:19:02 done 5/456 (1.74 h): constrained_K10_c1_k12_kap-0.1_N1000_s1.json
20:31:19 done 6/456 (1.95 h): constrained_K10_c1_k12_kap-0.1_N1000_s2.json
2026-09-15 20:35:48 reduced plan start: 233 jobs, 227 to run
20:47:42 reduced done 1/227 (0.20 h): constrained_K10_c1_k12_kap-0.1_N1000_s4.json
20:47:54 reduced done 2/227 (0.20 h): constrained_K10_c1_k12_kap-0.1_N1000_s3.json
20:52:36 reduced done 3/227 (0.28 h): control_K10_c1_k12_kapnone_N1000_s0.json
20:53:00 reduced done 4/227 (0.29 h): control_K10_c1_k12_kapnone_N4000_s1.json
20:53:24 reduced done 5/227 (0.29 h): control_K10_c1_k12_kapnone_N4000_s2.json
20:54:25 reduced done 6/227 (0.31 h): control_K10_c1_k12_kapnone_N4000_s3.json
20:54:27 reduced done 7/227 (0.31 h): control_K10_c1_k12_kapnone_N4000_s0.json
20:57:03 reduced done 8/227 (0.35 h): control_K10_c1_k12_kapnone_N1000_s1.json
20:57:27 reduced done 9/227 (0.36 h): control_K10_c1_k12_kapnone_N1000_s2.json
20:57:36 reduced done 10/227 (0.36 h): control_K10_c1_k12_kapnone_N1000_s3.json
20:58:49 reduced done 11/227 (0.38 h): control_K10_c1_k12_kapnone_N1000_s4.json
21:04:30 reduced done 12/227 (0.48 h): control_K10_c1_k12_kapnone_N4000_s4.json
21:07:34 reduced done 13/227 (0.53 h): control_K1_c0.5_k8_kapnone_N4000_s0.json
21:08:04 reduced done 14/227 (0.54 h): control_K1_c0.5_k8_kapnone_N4000_s1.json
21:14:58 reduced done 15/227 (0.65 h): control_K1_c0.5_k8_kapnone_N4000_s2.json
21:19:02 reduced done 16/227 (0.72 h): constrained_K10_c1_k12_kap-0.1_N4000_s3.json
21:19:04 reduced done 17/227 (0.72 h): constrained_K10_c1_k12_kap-0.1_N4000_s4.json
21:30:29 reduced done 18/227 (0.91 h): control_K1_c0.5_k12_kapnone_N4000_s0.json
21:40:14 reduced done 19/227 (1.07 h): control_K1_c0.5_k12_kapnone_N4000_s1.json
21:52:13 reduced done 20/227 (1.27 h): control_K1_c0.5_k12_kapnone_N4000_s2.json
21:54:36 reduced done 21/227 (1.31 h): constrained_K1_c0.5_k8_kap-0.2_N4000_s0.json
21:58:53 reduced done 22/227 (1.38 h): constrained_K1_c0.5_k8_kap-0.2_N4000_s2.json
22:01:20 reduced done 23/227 (1.43 h): constrained_K1_c0.5_k8_kap-0.2_N4000_s1.json
22:36:46 reduced done 24/227 (2.02 h): control_K1_c0.5_k16_kapnone_N4000_s0.json
