d=1 n=  64 G persistent N=    64 edges=    128 T=   8601 step     17.0 us  one run     0.1 s  (build 0.00 s, pairs 0.00 s, redraws 0)
d=1 n=  64 G fresh      N=    64 edges=    128 T=   8601 step     17.8 us  one run     0.2 s  (build 0.00 s, pairs 0.00 s, redraws 0)
d=1 n=  64 R persistent N=    64 edges=    604 T=   8601 step     26.1 us  one run     0.2 s  (build 0.01 s, pairs 0.00 s, redraws 0)
d=1 n=  64 R fresh      N=    64 edges=    604 T=   8601 step     26.4 us  one run     0.3 s  (build 0.01 s, pairs 0.00 s, redraws 0)
d=1 n= 128 G persistent N=   128 edges=    256 T=  34402 step     11.5 us  one run     0.4 s  (build 0.00 s, pairs 0.00 s, redraws 0)
d=1 n= 128 G fresh      N=   128 edges=    256 T=  34402 step     17.7 us  one run     0.6 s  (build 0.00 s, pairs 0.00 s, redraws 0)
d=1 n= 128 R persistent N=   128 edges=   1238 T=  34402 step     36.5 us  one run     1.3 s  (build 0.00 s, pairs 0.00 s, redraws 0)
d=1 n= 128 R fresh      N=   128 edges=   1238 T=  34402 step     55.5 us  one run     1.9 s  (build 0.00 s, pairs 0.00 s, redraws 0)
d=1 n= 256 G persistent N=   256 edges=    512 T= 137607 step     17.6 us  one run     2.4 s  (build 0.00 s, pairs 0.00 s, redraws 0)
d=1 n= 256 G fresh      N=   256 edges=    512 T= 137607 step     25.4 us  one run     3.5 s  (build 0.00 s, pairs 0.00 s, redraws 0)
d=1 n= 256 R persistent N=   256 edges=   2432 T= 137607 step     38.1 us  one run     5.2 s  (build 0.00 s, pairs 0.00 s, redraws 2)
d=1 n= 256 R fresh      N=   256 edges=   2432 T= 137607 step     51.0 us  one run     7.0 s  (build 0.00 s, pairs 0.00 s, redraws 2)
d=1 n= 512 G persistent N=   512 edges=   1024 T= 550426 step     26.1 us  one run    14.3 s  (build 0.00 s, pairs 0.00 s, redraws 0)
d=1 n= 512 G fresh      N=   512 edges=   1024 T= 550426 step    118.5 us  one run    65.2 s  (build 0.00 s, pairs 0.00 s, redraws 0)
d=1 n= 512 R persistent N=   512 edges=   5078 T= 550426 step    116.2 us  one run    64.0 s  (build 0.02 s, pairs 0.00 s, redraws 9)
d=1 n= 512 R fresh      N=   512 edges=   5078 T= 550426 step     89.9 us  one run    49.5 s  (build 0.02 s, pairs 0.00 s, redraws 9)
d=2 n=  16 G persistent N=   256 edges=   1024 T=   1076 step     20.0 us  one run     0.0 s  (build 0.00 s, pairs 0.00 s, redraws 0)
d=2 n=  16 G fresh      N=   256 edges=   1024 T=   1076 step     32.6 us  one run     0.1 s  (build 0.00 s, pairs 0.00 s, redraws 0)
d=2 n=  16 R persistent N=   256 edges=   2444 T=   1076 step     37.9 us  one run     0.0 s  (build 0.00 s, pairs 0.00 s, redraws 0)
d=2 n=  16 R fresh      N=   256 edges=   2444 T=   1076 step     49.2 us  one run     0.1 s  (build 0.00 s, pairs 0.00 s, redraws 0)
d=2 n=  32 G persistent N=  1024 edges=   4096 T=   4301 step     67.7 us  one run     0.3 s  (build 0.00 s, pairs 0.00 s, redraws 0)
d=2 n=  32 G fresh      N=  1024 edges=   4096 T=   4301 step     74.0 us  one run     0.4 s  (build 0.00 s, pairs 0.00 s, redraws 0)
d=2 n=  32 R persistent N=  1024 edges=  10088 T=   4301 step    139.5 us  one run     0.6 s  (build 0.00 s, pairs 0.00 s, redraws 0)
d=2 n=  32 R fresh      N=  1024 edges=  10088 T=   4301 step    151.1 us  one run     0.7 s  (build 0.00 s, pairs 0.00 s, redraws 0)
d=2 n=  64 G persistent N=  4096 edges=  16384 T=  17201 step    234.1 us  one run     4.0 s  (build 0.00 s, pairs 0.00 s, redraws 0)
d=2 n=  64 G fresh      N=  4096 edges=  16384 T=  17201 step    285.7 us  one run     5.0 s  (build 0.00 s, pairs 0.00 s, redraws 0)
d=2 n=  64 R persistent N=  4096 edges=  40868 T=  17201 step    548.3 us  one run     9.5 s  (build 0.01 s, pairs 0.01 s, redraws 0)
d=2 n=  64 R fresh      N=  4096 edges=  40868 T=  17201 step    633.2 us  one run    10.9 s  (build 0.01 s, pairs 0.01 s, redraws 0)
d=2 n= 128 G persistent N= 16384 edges=  65536 T=  68804 step   1508.9 us  one run   103.8 s  (build 0.00 s, pairs 0.00 s, redraws 0)
d=2 n= 128 G fresh      N= 16384 edges=  65536 T=  68804 step   1927.5 us  one run   132.9 s  (build 0.00 s, pairs 0.00 s, redraws 0)
d=2 n= 128 R persistent N= 16384 edges= 163576 T=  68804 step   5226.6 us  one run   359.8 s  (build 0.11 s, pairs 0.08 s, redraws 3)
d=2 n= 128 R fresh      N= 16384 edges= 163576 T=  68804 step   5458.3 us  one run   375.8 s  (build 0.11 s, pairs 0.08 s, redraws 3)
d=3 n=   8 G persistent N=   512 edges=   3072 T=    404 step     53.6 us  one run     0.0 s  (build 0.00 s, pairs 0.00 s, redraws 0)
d=3 n=   8 G fresh      N=   512 edges=   3072 T=    404 step     78.3 us  one run     0.0 s  (build 0.00 s, pairs 0.00 s, redraws 0)
d=3 n=   8 R persistent N=   512 edges=   5216 T=    404 step     76.0 us  one run     0.0 s  (build 0.00 s, pairs 0.00 s, redraws 0)
d=3 n=   8 R fresh      N=   512 edges=   5216 T=    404 step     94.3 us  one run     0.1 s  (build 0.00 s, pairs 0.00 s, redraws 0)
d=3 n=  16 G persistent N=  4096 edges=  24576 T=   1613 step    477.7 us  one run     0.8 s  (build 0.00 s, pairs 0.00 s, redraws 0)
d=3 n=  16 G fresh      N=  4096 edges=  24576 T=   1613 step    450.8 us  one run     0.8 s  (build 0.00 s, pairs 0.00 s, redraws 0)
d=3 n=  16 R persistent N=  4096 edges=  40232 T=   1613 step    621.5 us  one run     1.0 s  (build 0.01 s, pairs 0.02 s, redraws 0)
d=3 n=  16 R fresh      N=  4096 edges=  40232 T=   1613 step    693.9 us  one run     1.2 s  (build 0.01 s, pairs 0.02 s, redraws 0)
d=3 n=  24 G persistent N= 13824 edges=  82944 T=   3629 step   2623.8 us  one run     9.5 s  (build 0.00 s, pairs 0.00 s, redraws 0)
d=3 n=  24 G fresh      N= 13824 edges=  82944 T=   3629 step   2840.4 us  one run    10.5 s  (build 0.00 s, pairs 0.00 s, redraws 0)
d=3 n=  24 R persistent N= 13824 edges= 138776 T=   3629 step   4308.7 us  one run    15.8 s  (build 0.13 s, pairs 0.06 s, redraws 2)
d=3 n=  24 R fresh      N= 13824 edges= 138776 T=   3629 step   4524.2 us  one run    16.7 s  (build 0.13 s, pairs 0.06 s, redraws 2)
d=3 n=  32 G persistent N= 32768 edges= 196608 T=   6451 step   6339.0 us  one run    40.9 s  (build 0.00 s, pairs 0.00 s, redraws 0)
d=3 n=  32 G fresh      N= 32768 edges= 196608 T=   6451 step   6690.6 us  one run    45.5 s  (build 0.00 s, pairs 0.00 s, redraws 0)
d=3 n=  32 R persistent N= 32768 edges= 327042 T=   6451 step  10363.4 us  one run    67.3 s  (build 0.20 s, pairs 0.24 s, redraws 1)
d=3 n=  32 R fresh      N= 32768 edges= 327042 T=   6451 step  10571.5 us  one run    68.8 s  (build 0.20 s, pairs 0.24 s, redraws 1)
projected total for 144 runs (3 seeds each): 75.0 min
smoke test (harness only, not results): d=3 n=8 R fresh, T=404, finished in 0.1 s, keys ['N', 'T', 'W', 'd', 'fresh', 'kind', 'mean_degree', 'n', 'redraws', 'seed', 'tilt_r']
smoke test (harness only, not results): d=1 n=64 G persistent, T=8601, finished in 0.1 s, keys ['N', 'T', 'W', 'W_change', 'd', 'fresh', 'kind', 'max_neighbour_diff', 'mean_degree', 'n', 'rate_spread', 'redraws', 'seed', 'tilt_r']
