regrown n=32 seed 0 in 1780 s: V 36980 E 185492 | matches the run: True
  the run fitted d_s = 1.4324725770117845 over radii 2.0-4.0; diameter 24.0
         t     radius       d_s
         4       1.42     2.389
         6       1.68     2.162
         9       1.97     1.885
        13       2.26     1.589
        18       2.56     1.448
        27       2.97     1.427
        39       3.39     1.461
        56       3.84     1.540
        81       4.33     1.659
       118       4.86     1.830
       170       5.38     2.061
       246       5.88     2.354
       357       6.33     2.707
       517       6.71     3.130
       749       6.99     3.602
      1084       7.18     3.996
      1570       7.29     3.991
      2274       7.34     3.315
      3292       7.36     2.160
      4768       7.37     1.005
