ring   rho 2 seed 1 | reading 0.995 at 4297 -> 1.016 at 8409 (a real one reads 0.998) | drift 0.021 | gap -0.002 -> 0.018 (grows by 0.02) | in one piece 1.0 | relations/event 2.00 | 1s
ring   rho 2 seed 2 | reading 1.004 at 4382 -> 0.999 at 8629 (a real one reads 0.998) | drift -0.005 | gap 0.007 -> 0.001 (grows by -0.006) | in one piece 1.0 | relations/event 2.00 | 0s
ring   rho 2 seed 3 | reading 1.004 at 4384 -> 1.017 at 8723 (a real one reads 0.998) | drift 0.013 | gap 0.007 -> 0.019 (grows by 0.012) | in one piece 1.0 | relations/event 2.00 | 1s
ring   rho 3 seed 1 | reading 0.991 at 4332 -> 0.99 at 8329 (a real one reads 0.998) | drift -0.001 | gap -0.006 -> -0.008 (grows by -0.002) | in one piece 1.0 | relations/event 3.00 | 1s
ring   rho 3 seed 2 | reading 0.986 at 4339 -> 1.0 at 8536 (a real one reads 0.998) | drift 0.014 | gap -0.011 -> 0.002 (grows by 0.013) | in one piece 1.0 | relations/event 3.00 | 1s
ring   rho 3 seed 3 | reading 1.008 at 4373 -> 1.007 at 8429 (a real one reads 0.998) | drift -0.001 | gap 0.011 -> 0.009 (grows by -0.002) | in one piece 1.0 | relations/event 3.00 | 1s
ring   rho 4 seed 1 | reading 0.983 at 4236 -> 0.994 at 8246 (a real one reads 0.998) | drift 0.011 | gap -0.014 -> -0.004 (grows by 0.01) | in one piece 1.0 | relations/event 4.00 | 1s
ring   rho 4 seed 2 | reading 1.006 at 4331 -> 1.01 at 8355 (a real one reads 0.998) | drift 0.004 | gap 0.009 -> 0.012 (grows by 0.003) | in one piece 1.0 | relations/event 4.00 | 1s
ring   rho 4 seed 3 | reading 1.003 at 4013 -> 1.017 at 8437 (a real one reads 0.998) | drift 0.014 | gap 0.007 -> 0.019 (grows by 0.012) | in one piece 1.0 | relations/event 4.00 | 1s
ring   rho 5 seed 1 | reading 0.98 at 4271 -> 0.986 at 8243 (a real one reads 0.998) | drift 0.006 | gap -0.017 -> -0.012 (grows by 0.005) | in one piece 1.0 | relations/event 5.00 | 1s
ring   rho 5 seed 2 | reading 0.996 at 4341 -> 1.002 at 8521 (a real one reads 0.998) | drift 0.006 | gap -0.001 -> 0.004 (grows by 0.005) | in one piece 1.0 | relations/event 5.00 | 1s
ring   rho 5 seed 3 | reading 1.003 at 4016 -> 0.994 at 8631 (a real one reads 0.998) | drift -0.009 | gap 0.007 -> -0.004 (grows by -0.011) | in one piece 1.0 | relations/event 5.00 | 1s
ring   rho 6 seed 1 | reading 0.976 at 4271 -> 0.976 at 8201 (a real one reads 0.998) | drift 0.0 | gap -0.021 -> -0.022 (grows by -0.001) | in one piece 1.0 | relations/event 6.00 | 1s
