web    thickness 12 seed 1 | n  8316 | ED DIRECTIONS None | groups at three tolerances [2, 3, 5] | gap ratio 1.167 | ball growth None
web    thickness 12 seed 2 | n  8304 | ED DIRECTIONS None | groups at three tolerances [1, 1, 2] | gap ratio 1.338 | ball growth None
web    thickness 12 seed 3 | n  8214 | ED DIRECTIONS None | groups at three tolerances [2, 2, 2] | gap ratio 1.418 | ball growth None
web    thickness 25 seed 1 | n  8321 | ED DIRECTIONS None | groups at three tolerances [13, 25, 29] | gap ratio 1.006 | ball growth None
web    thickness 25 seed 2 | n  8373 | ED DIRECTIONS None | groups at three tolerances [12, 24, 29] | gap ratio 1.015 | ball growth None
web    thickness 25 seed 3 | n  8286 | ED DIRECTIONS None | groups at three tolerances [13, 26, 29] | gap ratio 1.007 | ball growth None
web    thickness 50 seed 1 | n  8321 | ED DIRECTIONS None | groups at three tolerances [13, 25, 29] | gap ratio 1.007 | ball growth None
web    thickness 50 seed 2 | n  8373 | ED DIRECTIONS None | groups at three tolerances [12, 25, 29] | gap ratio 1.008 | ball growth None
web    thickness 50 seed 3 | n  8286 | ED DIRECTIONS None | groups at three tolerances [12, 26, 29] | gap ratio 1.006 | ball growth None
grid3D thickness 12 seed 1 | n  9365 | ED DIRECTIONS 3.0 | groups at three tolerances [6, 6, 6] | gap ratio 1.604 | ball growth 2.711
grid3D thickness 12 seed 2 | n  9202 | ED DIRECTIONS None | groups at three tolerances [5, 6, 6] | gap ratio 1.622 | ball growth 2.746
grid3D thickness 12 seed 3 | n  9429 | ED DIRECTIONS 3.0 | groups at three tolerances [6, 6, 6] | gap ratio 1.673 | ball growth 2.708
grid3D thickness 25 seed 1 | n  9339 | ED DIRECTIONS None | groups at three tolerances [5, 6, 6] | gap ratio 1.631 | ball growth 2.322
grid3D thickness 25 seed 2 | n  9266 | ED DIRECTIONS None | groups at three tolerances [4, 6, 6] | gap ratio 1.562 | ball growth 2.351
grid3D thickness 25 seed 3 | n  9358 | ED DIRECTIONS 3.0 | groups at three tolerances [6, 6, 6] | gap ratio 1.676 | ball growth 2.347
grid3D thickness 50 seed 1 | n  9339 | ED DIRECTIONS 3.0 | groups at three tolerances [6, 6, 6] | gap ratio 1.633 | ball growth 2.317
grid3D thickness 50 seed 2 | n  9266 | ED DIRECTIONS None | groups at three tolerances [4, 6, 6] | gap ratio 1.559 | ball growth 2.343
grid3D thickness 50 seed 3 | n  9358 | ED DIRECTIONS 3.0 | groups at three tolerances [6, 6, 6] | gap ratio 1.676 | ball growth 2.335
ring   thickness 12 seed 1 | n  8442 | ED DIRECTIONS 1.0 | groups at three tolerances [2, 2, 2] | gap ratio 3.733 | ball growth 0.978
ring   thickness 12 seed 2 | n  8400 | ED DIRECTIONS 1.0 | groups at three tolerances [2, 2, 2] | gap ratio 3.669 | ball growth 0.973
ring   thickness 12 seed 3 | n  8608 | ED DIRECTIONS 1.0 | groups at three tolerances [2, 2, 2] | gap ratio 3.85 | ball growth 0.994
ring   thickness 25 seed 1 | n  8442 | ED DIRECTIONS 1.0 | groups at three tolerances [2, 2, 2] | gap ratio 3.763 | ball growth 0.978
ring   thickness 25 seed 2 | n  8400 | ED DIRECTIONS 1.0 | groups at three tolerances [2, 2, 2] | gap ratio 3.677 | ball growth 0.973
ring   thickness 25 seed 3 | n  8608 | ED DIRECTIONS 1.0 | groups at three tolerances [2, 2, 2] | gap ratio 3.854 | ball growth 0.993
ring   thickness 50 seed 1 | n  8442 | ED DIRECTIONS 1.0 | groups at three tolerances [2, 2, 2] | gap ratio 3.763 | ball growth 0.978
ring   thickness 50 seed 2 | n  8400 | ED DIRECTIONS 1.0 | groups at three tolerances [2, 2, 2] | gap ratio 3.677 | ball growth 0.973
ring   thickness 50 seed 3 | n  8608 | ED DIRECTIONS 1.0 | groups at three tolerances [2, 2, 2] | gap ratio 3.854 | ball growth 0.993

W1 (a web start acquires a definite number of directions) False   values []
W2 (and that number is 3) False
W3 (controls: ring reads 1, cubic torus reads 3) True   ring [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0] | cubic torus [3.0, None, 3.0, None, None, 3.0, 3.0, None, 3.0]
** The web start keeps NO definite number of directions. ED's rules carry a dimension; they do not make one. That is the project's answer, measured with ED's own instrument in ED's own regime. **
