kappa 4 near-uniform : mean v -1.4422e-02, sd 5.391e-04; all loci same rate sign on 0% of watched steps; mean s -0.032; winding at final rates 0
kappa 4 staggered    : mean v -3.8067e-01, sd 1.923e-03; all loci same rate sign on 100% of watched steps; mean s -1.000; winding at final rates 1
kappa 4 wave pi/2    : mean v +3.2673e-01, sd 1.941e-01; all loci same rate sign on 100% of watched steps; mean s +1.000; winding at final rates 1
kappa 4 wave 2pi/3   : mean v +4.2761e-01, sd 1.067e-03; all loci same rate sign on 100% of watched steps; mean s +1.000; winding at final rates 1
kappa 4 random pure 1: mean v -3.8057e-01, sd 7.407e-04; all loci same rate sign on 100% of watched steps; mean s -1.000; winding at final rates 1
kappa 4 random pure 2: mean v +5.8371e-07, sd 2.336e-01; all loci same rate sign on 100% of watched steps; mean s +0.000; winding at final rates 1
kappa 4 random mixed : mean v +3.8071e-01, sd 1.990e-03; all loci same rate sign on 100% of watched steps; mean s +1.000; winding at final rates 1
kappa 8 near-uniform : mean v -4.6507e-07, sd 2.510e-01; all loci same rate sign on 100% of watched steps; mean s +0.000; winding at final rates 1
kappa 8 staggered    : mean v -5.9358e-07, sd 2.271e-01; all loci same rate sign on 100% of watched steps; mean s +0.000; winding at final rates 1
kappa 8 wave pi/2    : mean v +3.2638e-01, sd 1.936e-01; all loci same rate sign on 100% of watched steps; mean s +1.000; winding at final rates 1
kappa 8 wave 2pi/3   : mean v +4.3195e-01, sd 6.212e-04; all loci same rate sign on 100% of watched steps; mean s +1.000; winding at final rates 1
kappa 8 random pure 1: mean v -3.8007e-01, sd 3.415e-03; all loci same rate sign on 100% of watched steps; mean s -1.000; winding at final rates 1
kappa 8 random pure 2: mean v +5.7946e-07, sd 2.351e-01; all loci same rate sign on 100% of watched steps; mean s +0.000; winding at final rates 1
kappa 8 random mixed : mean v +3.8048e-01, sd 2.559e-03; all loci same rate sign on 100% of watched steps; mean s +1.000; winding at final rates 1
exit 0
