F N=1000: build 0.0 s (redraws 0), solve 0.0 s (cg(info=0), residual 8.6e-13), readings 0.0 s (d_H defined: False); connected True; degree mean/min/max 6.00/6/6
F N=8000: build 0.0 s (redraws 0), solve 0.0 s (cg(info=0), residual 6.4e-13), readings 0.2 s (d_H defined: True); connected True; degree mean/min/max 6.00/6/6
F N=27000: build 0.0 s (redraws 0), solve 0.1 s (cg(info=0), residual 7.5e-13), readings 0.8 s (d_H defined: True); connected True; degree mean/min/max 6.00/6/6
FR N=1000: build 0.0 s (redraws 0), solve 0.0 s (cg(info=0), residual 7.0e-13), readings 0.0 s (d_H defined: False); connected True; degree mean/min/max 14.19/5/25
FR N=8000: build 0.0 s (redraws 0), solve 0.0 s (cg(info=0), residual 9.5e-13), readings 0.4 s (d_H defined: True); connected True; degree mean/min/max 13.90/3/28
FR N=27000: build 0.1 s (redraws 0), solve 0.3 s (cg(info=0), residual 9.3e-13), readings 2.1 s (d_H defined: True); connected True; degree mean/min/max 14.01/2/32
B N=1024: build 0.0 s (redraws 0, tree edges 15 of 16 blocks), solve 0.0 s (spsolve, residual 1.0e-13), readings 0.0 s (d_H defined: True); connected True; degree mean/min/max 4.53/3/7
B N=8192: build 0.0 s (redraws 0, tree edges 127 of 128 blocks), solve 0.0 s (spsolve, residual 4.0e-13), readings 0.2 s (d_H defined: True); connected True; degree mean/min/max 4.53/3/7
B N=27648: build 0.0 s (redraws 0, tree edges 431 of 432 blocks), solve 0.1 s (spsolve, residual 1.6e-12), readings 0.7 s (d_H defined: True); connected True; degree mean/min/max 4.53/3/8
H N=1000: build 0.0 s (redraws 0), solve 0.0 s (cg(info=0), residual 8.2e-13), readings 0.0 s (d_H defined: False); connected True; degree mean/min/max 6.00/6/6
H N=8000: build 0.0 s (redraws 0), solve 0.0 s (cg(info=0), residual 7.9e-13), readings 0.3 s (d_H defined: False); connected True; degree mean/min/max 6.00/6/6
H N=27000: build 0.1 s (redraws 0), solve 0.0 s (cg(info=0), residual 6.2e-13), readings 1.1 s (d_H defined: True); connected True; degree mean/min/max 6.00/6/6
Cr N=1000: build 0.0 s (redraws 0), solve 0.0 s (cg(info=0), residual 5.8e-13), readings 0.1 s (d_H defined: False); connected True; degree mean/min/max 31.62/16/51
Cr N=8000: build 0.2 s (redraws 0), solve 0.1 s (cg(info=0), residual 3.0e-13), readings 2.7 s (d_H defined: False); connected True; degree mean/min/max 89.44/55/127
Cr N=27000: build 1.9 s (redraws 0), solve 0.5 s (cg(info=0), residual 5.1e-13), readings 16.5 s (d_H defined: False); connected True; degree mean/min/max 164.32/112/216
projected 45 jobs: 1.4 min single process, 0.2 min on 6 workers
